project_id,department,manager_experience_years,team_size,complexity_score,planned_duration_months,actual_duration_months,planned_budget_k,actual_budget_k,satisfaction_score
PRJ0425,Finance,11,18,7,15,16,55.45,56.97,6.91
PRJ0426,Marketing,11,6,3,13,14,480.43,453.02,9.09
PRJ0427,Marketing,2,13,10,6,9,381.88,464.57,1.73
PRJ0428,Finance,5,11,2,6,4,208.96,182.32,10.0
PRJ0429,HR,14,5,7,16,17,183.44,147.79,9.93
PRJ0430,Operations,1,10,2,16,16,207.37,257.32,6.12
PRJ0431,Marketing,12,7,3,9,10,398.59,531.6,3.9
PRJ0432,Finance,15,6,7,18,18,347.62,340.91,8.17
PRJ0433,Research,1,8,4,18,17,133.34,139.09,8.79
PRJ0434,Finance,5,4,1,4,7,128.35,112.69,2.42
PRJ0435,HR,12,13,5,10,8,94.28,99.07,8.85
PRJ0436,HR,13,6,9,15,16,347.14,339.73,8.0
PRJ0437,IT,3,17,8,4,4,393.97,407.63,7.46
PRJ0438,Marketing,4,8,9,17,19,169.27,188.12,4.22
PRJ0439,IT,3,19,10,8,6,59.43,52.61,10.0
PRJ0440,Finance,1,8,9,18,17,86.98,86.61,7.03
PRJ0441,Operations,1,4,7,13,13,485.54,378.45,10.0
PRJ0442,Operations,12,17,4,16,19,182.95,182.36,6.51
PRJ0443,HR,12,13,5,11,14,396.15,410.41,4.56
PRJ0444,Operations,14,10,1,7,6,331.1,359.03,10.0
PRJ0445,Operations,13,15,1,8,7,221.87,240.94,8.46
PRJ0446,Operations,14,14,3,7,10,142.56,169.02,1.0
PRJ0447,Finance,5,7,8,15,16,104.62,85.69,8.7
PRJ0448,Operations,6,8,2,15,16,326.76,270.25,10.0
PRJ0449,Research,3,6,4,17,17,398.59,450.15,6.04
PRJ0450,Operations,12,3,2,7,9,339.76,252.83,7.98
PRJ0451,Operations,9,19,5,15,15,288.64,311.01,7.97
PRJ0452,IT,5,14,9,11,13,68.88,60.13,8.04
PRJ0453,Finance,8,17,1,5,4,485.82,624.73,9.59
PRJ0454,HR,13,3,5,4,3,409.42,445.27,8.45
PRJ0455,IT,1,16,9,6,6,181.77,184.88,6.75
PRJ0456,Marketing,14,8,1,12,12,490.99,605.96,4.5
PRJ0457,Finance,5,7,9,7,9,320.85,285.71,5.94
PRJ0458,Research,15,13,8,13,12,312.09,286.81,10.0
PRJ0459,Finance,3,6,4,8,7,386.63,332.8,9.61
PRJ0460,Marketing,12,15,10,5,7,415.3,382.18,5.91
PRJ0461,Marketing,1,13,5,7,6,345.42,365.86,8.87
PRJ0462,Marketing,4,5,5,5,8,107.64,121.0,1.0
PRJ0463,HR,15,3,6,18,19,202.22,241.49,3.75
PRJ0464,Operations,13,8,7,5,8,467.64,363.02,2.71
PRJ0465,Finance,5,20,8,7,5,151.08,154.74,9.95
PRJ0466,Operations,7,12,8,9,9,217.48,192.2,8.99
PRJ0467,Operations,1,7,2,10,8,244.43,249.12,10.0
PRJ0468,Research,3,12,9,13,13,247.73,346.85,4.8
PRJ0469,Marketing,2,14,7,6,7,325.82,356.38,4.56
PRJ0470,HR,9,4,4,6,5,474.38,562.1,8.23
PRJ0471,Research,10,15,4,13,16,158.31,212.79,3.9
PRJ0472,IT,15,10,8,9,11,104.68,127.62,5.46
PRJ0473,HR,6,4,4,16,19,138.86,136.47,5.98
PRJ0474,Operations,10,3,6,15,16,449.12,385.63,9.71
PRJ0475,HR,3,7,5,6,4,340.61,356.1,10.0
PRJ0476,Marketing,8,11,3,16,18,178.66,172.38,5.59
PRJ0477,IT,14,19,10,5,4,417.18,342.64,10.0
PRJ0478,Marketing,8,11,2,11,12,437.62,475.32,8.45
PRJ0479,IT,2,13,9,8,10,430.93,469.66,4.3
PRJ0480,Research,15,17,10,18,19,463.52,609.7,1.36
PRJ0481,Operations,6,8,9,4,5,163.51,162.81,5.42
PRJ0482,IT,7,5,1,6,5,389.77,425.64,9.87
PRJ0483,IT,2,19,10,13,13,257.24,244.42,8.5
PRJ0484,IT,15,7,3,11,13,428.9,506.52,5.09
PRJ0485,HR,11,14,8,7,6,377.82,389.65,10.0
PRJ0486,Research,10,20,6,17,18,399.4,349.12,8.32
PRJ0487,HR,2,16,5,10,9,345.27,361.84,8.0
PRJ0488,Operations,10,13,5,13,13,129.84,143.94,7.07
PRJ0489,IT,1,11,6,15,18,295.26,321.33,5.29
PRJ0490,Research,8,4,7,17,19,493.1,595.11,4.81
PRJ0491,Research,1,14,1,17,17,471.82,392.93,9.77
PRJ0492,Finance,9,5,9,5,3,69.43,64.12,10.0
PRJ0493,Operations,11,5,3,10,12,124.17,142.29,5.29
PRJ0494,Research,6,3,4,8,8,109.28,102.86,9.19
PRJ0495,IT,7,10,10,8,9,376.69,409.11,4.55
PRJ0496,IT,13,10,1,9,11,418.0,292.6,8.39
PRJ0497,Research,10,13,10,16,18,146.08,212.9,2.27
PRJ0498,HR,7,11,3,12,11,277.63,280.28,8.2
PRJ0499,Operations,10,7,2,17,18,428.32,526.45,5.76
PRJ0500,IT,3,16,2,9,7,379.76,379.56,10.0
